VIN (1-10),Model Year,Base MSRP,vehicle_id
JTMAB3FV3P,2023,0.0,0
7FCTGAAA1P,2023,0.0,1
ZACPDFCW7R,2024,0.0,2
KNDPYDDH2R,2024,0.0,3
5UX43EU02S,2025,0.0,4
7G2CEHEDXR,2024,0.0,5
JM3KKDHA1R,2024,0.0,6
KNDCR3L11P,2023,0.0,7
KNDRMDLH6R,2024,0.0,8
5UXTA6C08P,2023,0.0,9
5UXTA6C08P,2023,0.0,20
JA4T5WA9XR,2024,0.0,10
KNDC4DLC0P,2023,0.0,11
KNDC4DLC0P,2023,0.0,554
JTMEB3FV9R,2024,0.0,12
5LMYJ9YYXP,2023,0.0,13
4JGFB4GB5R,2024,0.0,14
YV4H60PF7S,2025,0.0,15
7SAYGDEE5P,2023,0.0,16
7SAYGDEE5P,2023,0.0,40
7SAYGDEE5P,2023,0.0,460
7SAYGDEFXP,2023,0.0,17
5YJSA1E58P,2023,0.0,18
5YJSA1E58P,2023,0.0,36
1G1FY6S04P,2023,0.0,19
1G1FY6S04P,2023,0.0,661
5UXTA6C08P,2023,0.0,9
5UXTA6C08P,2023,0.0,20
KNDC3DLC4R,2024,0.0,21
KNDC3DLC4R,2024,0.0,557
KM8S7DA28P,2023,0.0,22
5UX43EU03S,2025,0.0,23
5YJ3E1EB1R,2024,0.0,24
5YJ3E1EB1R,2024,0.0,534
KNDPZDAH8P,2023,0.0,25
JTJCJMGA7R,2024,0.0,26
JTJCJMGA7R,2024,0.0,432
7SAYGDEE9R,2024,0.0,27
7SAYGDEE9R,2024,0.0,227
5UXTA6C08P,2023,0.0,9
5UXTA6C08P,2023,0.0,20
1C4RJXN6XR,2024,0.0,28
KNDPYDDH8R,2024,0.0,29
KNDPYDDH8R,2024,0.0,379
3MW39FS08P,2023,0.0,30
YV4H60CK3P,2023,0.0,31
5UX43EU06R,2024,0.0,32
5UX43EU06R,2024,0.0,483
5YJ3E1EB0P,2023,0.0,33
5YJ3E1EB0P,2023,0.0,82
5YJ3E1EB0P,2023,0.0,521
7SAYGAEE4P,2023,0.0,34
7SAYGAEE4P,2023,0.0,95
7SAYGAEE4P,2023,0.0,125
7SAYGAEE1P,2023,0.0,35
7SAYGAEE1P,2023,0.0,181
5YJSA1E58P,2023,0.0,18
5YJSA1E58P,2023,0.0,36
1FMCU0E19P,2023,0.0,37
1FT6W7L70R,2024,0.0,38
1FT6W1EV6P,2023,0.0,39
7SAYGDEE5P,2023,0.0,16
7SAYGDEE5P,2023,0.0,40
7SAYGDEE5P,2023,0.0,460
1G1FZ6S04P,2023,0.0,41
1G1FZ6S04P,2023,0.0,262
KM8KRDAF2P,2023,0.0,42
KM8KRDAF2P,2023,0.0,643
7SAYGDEE1P,2023,0.0,43
7SAYGDEE1P,2023,0.0,64
1C4JJXR64P,2023,0.0,44
1N4AZ1BV1P,2023,0.0,45
7SAYGAEE1P,2023,0.0,35
7SAYGAEE1P,2023,0.0,181
5YJ3E1EA3R,2024,0.0,46
7SAYGDEE4P,2023,0.0,47
7SAYGDEE4P,2023,0.0,80
7SAYGDEE0R,2024,0.0,48
7SAYGDEE0R,2024,0.0,258
5YJ3E1EA0R,2024,0.0,49
KNDC4DLC3P,2023,0.0,50
KNDRMDLH1P,2023,0.0,51
7SAYGAEE1P,2023,0.0,35
7SAYGAEE1P,2023,0.0,181
5NMMCET10R,2024,0.0,52
7SAYGAEE7R,2024,0.0,53
7SAYGAEE7R,2024,0.0,65
7SAYGAEE7R,2024,0.0,601
